Year,Month,Manufacturer,Model,Sales,Region
2011,January,Mazda,Hatchback,4206,Shikoku
2012,December,Toyota,SUV,2476,Chugoku
2018,December,Subaru,Hatchback,2790,Kansai
2022,December,Honda,Truck,4081,Kyushu
2023,November,Nissan,Sedan,2623,Hokkaido
2019,December,Mazda,Convertible,2462,Chubu
2020,April,Nissan,Convertible,2916,Kyushu
2016,July,Honda,Convertible,4041,Kanto
2011,January,Nissan,Sedan,4070,Kyushu
2020,May,Mazda,Truck,1849,Hokkaido
2019,September,Toyota,Truck,1688,Shikoku
2015,July,Toyota,Truck,4877,Shikoku
2013,February,Honda,Truck,4106,Kyushu
2010,November,Honda,SUV,2761,Tohoku
2013,January,Toyota,Convertible,4884,Chugoku
2020,March,Honda,Sedan,1012,Shikoku
2021,March,Nissan,Sedan,4758,Kansai
2010,September,Nissan,SUV,2454,Chugoku
2012,February,Honda,Hatchback,2075,Hokkaido
2020,August,Honda,Hatchback,1834,Kyushu
2013,August,Subaru,Convertible,2194,Kanto
2019,March,Mazda,Hatchback,1922,Chugoku
2015,November,Mazda,Hatchback,3220,Chubu
2011,September,Subaru,Convertible,3085,Kanto
2015,March,Honda,SUV,3832,Chubu
2019,April,Subaru,Truck,4249,Chugoku
2020,October,Honda,Hatchback,2797,Hokkaido
2021,July,Mazda,Hatchback,4962,Chubu
2022,August,Honda,Convertible,3327,Kansai
2023,June,Nissan,Sedan,4049,Chubu
2011,June,Mazda,Convertible,3035,Kansai
2011,December,Nissan,Truck,4349,Chubu
2020,April,Subaru,Convertible,4326,Hokkaido
2022,November,Honda,Convertible,1866,Shikoku
2011,March,Nissan,SUV,3704,Shikoku
2013,September,Nissan,Hatchback,2387,Tohoku
2019,July,Nissan,SUV,3558,Kanto
2015,December,Toyota,Convertible,2890,Kyushu
2015,February,Toyota,Truck,3830,Kanto
2021,November,Mazda,SUV,1553,Chugoku
2018,January,Toyota,SUV,2724,Shikoku
2023,June,Subaru,Truck,2114,Shikoku
2021,July,Toyota,Hatchback,4480,Chugoku
2022,November,Toyota,Sedan,4406,Hokkaido
2014,January,Mazda,Sedan,4333,Chubu
2023,December,Nissan,Sedan,4560,Chugoku
2019,February,Mazda,SUV,1356,Kansai
2011,July,Mazda,Convertible,1007,Chugoku
2015,April,Mazda,SUV,2528,Chubu
2013,September,Nissan,Truck,1770,Kyushu
2013,February,Mazda,SUV,2278,Kanto
2024,September,Mazda,Convertible,1457,Chugoku
2015,December,Subaru,Sedan,3256,Kansai
2024,July,Mazda,Truck,1806,Tohoku
2011,May,Toyota,Sedan,1210,Shikoku
2024,August,Subaru,SUV,1650,Kansai
2021,March,Nissan,SUV,2237,Kyushu
2020,September,Nissan,Hatchback,4995,Shikoku
2016,May,Subaru,Sedan,4112,Kanto
2012,November,Mazda,Hatchback,2991,Chubu
2012,November,Subaru,Truck,2642,Chubu
2010,August,Nissan,SUV,1112,Chugoku
2019,January,Subaru,SUV,1680,Kyushu
2020,April,Toyota,SUV,1376,Kyushu
2019,September,Honda,Sedan,3559,Hokkaido
2017,June,Toyota,Convertible,1776,Chugoku
2023,December,Toyota,Convertible,4846,Kanto
2012,June,Subaru,Sedan,4921,Chubu
2012,November,Toyota,Hatchback,3910,Tohoku
2021,June,Honda,SUV,4754,Kyushu
2023,November,Mazda,Sedan,2501,Hokkaido
2016,November,Toyota,Truck,1939,Kanto
2011,March,Nissan,Convertible,2811,Kyushu
2014,January,Nissan,Sedan,4642,Kanto
2023,December,Nissan,Truck,3457,Kansai
2022,August,Mazda,Hatchback,4392,Chugoku
2019,June,Mazda,SUV,4821,Chubu
2021,July,Honda,Truck,3154,Kansai
2011,February,Nissan,Sedan,2934,Tohoku
2022,March,Subaru,Truck,3334,Kanto
2019,May,Nissan,Truck,4056,Hokkaido
2016,February,Toyota,Convertible,1099,Kyushu
2019,December,Toyota,Convertible,4799,Kanto
2011,December,Toyota,Convertible,1017,Chubu
2015,March,Mazda,Convertible,1935,Kyushu
2019,April,Subaru,Sedan,4205,Kanto
2022,April,Nissan,SUV,1352,Kanto
2010,August,Toyota,SUV,4852,Chubu
2021,June,Subaru,Truck,1460,Shikoku
2022,November,Mazda,SUV,1930,Kanto
2015,March,Toyota,Truck,3831,Hokkaido
2024,June,Mazda,Convertible,4228,Kyushu
2017,September,Honda,Truck,1449,Chubu
2023,September,Toyota,Truck,4967,Hokkaido
2021,October,Mazda,Truck,1819,Tohoku
2020,January,Honda,Truck,4845,Tohoku
2011,October,Subaru,Hatchback,3416,Chubu
2016,August,Toyota,SUV,4780,Shikoku
2010,April,Toyota,SUV,1136,Kanto
2014,March,Subaru,SUV,3267,Shikoku
2020,January,Nissan,Hatchback,4183,Tohoku
2022,November,Nissan,SUV,4380,Tohoku
2011,July,Subaru,SUV,1399,Kansai
2023,May,Honda,Truck,2570,Chugoku
2015,June,Toyota,Convertible,2670,Shikoku
2018,June,Toyota,Sedan,4602,Kanto
2021,September,Nissan,Convertible,2047,Tohoku
2023,March,Mazda,Truck,4742,Kyushu
2011,May,Honda,Sedan,3667,Hokkaido
2011,December,Nissan,Sedan,4177,Kanto
2022,February,Honda,Truck,1092,Chugoku
2011,November,Nissan,Sedan,3842,Shikoku
2010,November,Honda,Convertible,1366,Hokkaido
2018,May,Honda,Truck,2448,Kansai
2024,April,Honda,Convertible,4963,Shikoku
2019,July,Subaru,Hatchback,4515,Kanto
2020,May,Honda,SUV,4937,Tohoku
2016,August,Nissan,Truck,2907,Kansai
2023,June,Honda,SUV,1489,Kanto
2011,February,Subaru,Hatchback,1323,Tohoku
2015,June,Nissan,Convertible,2443,Kyushu
2022,January,Subaru,Sedan,1104,Hokkaido
2017,May,Honda,Sedan,3806,Kyushu
2017,April,Mazda,Convertible,3989,Hokkaido
2017,March,Nissan,SUV,3479,Chubu
2024,May,Toyota,Hatchback,1189,Tohoku
2010,July,Honda,Convertible,4330,Kyushu
2014,July,Nissan,SUV,3454,Chubu
2014,May,Subaru,Convertible,1319,Chubu
2010,June,Nissan,Convertible,3291,Kansai
2013,December,Nissan,Truck,3763,Chubu
2018,October,Nissan,Sedan,3279,Chugoku
2010,February,Subaru,Sedan,4711,Kyushu
2012,September,Mazda,Hatchback,1212,Kansai
2017,July,Honda,Sedan,4017,Kansai
2010,January,Subaru,SUV,4940,Hokkaido
2021,August,Subaru,Convertible,1088,Chugoku
2022,March,Toyota,SUV,4043,Chugoku
2019,September,Nissan,Hatchback,3123,Kanto
2011,July,Mazda,Hatchback,2176,Tohoku
2014,November,Toyota,SUV,4736,Chubu
2019,May,Nissan,SUV,3033,Chubu
2016,November,Toyota,Sedan,2244,Kansai
2018,December,Toyota,Convertible,4580,Chubu
2015,February,Subaru,Truck,2771,Chugoku
2018,December,Subaru,Convertible,3825,Tohoku
2021,June,Toyota,Hatchback,1227,Kansai
2021,August,Toyota,Sedan,3515,Chugoku
2023,July,Toyota,Hatchback,2388,Kyushu
2011,July,Nissan,SUV,3605,Tohoku
2024,May,Nissan,Hatchback,1180,Chugoku
2018,August,Nissan,Convertible,1182,Kansai
2019,March,Honda,Sedan,4171,Shikoku
2016,February,Toyota,Hatchback,1598,Chugoku
2022,December,Toyota,Truck,1848,Kansai
2018,July,Nissan,Hatchback,4406,Kansai
2014,October,Toyota,SUV,1910,Shikoku
2024,December,Toyota,Convertible,3356,Chubu
2017,August,Honda,Hatchback,2925,Chubu
2016,December,Nissan,Sedan,1490,Kansai
2019,December,Toyota,Truck,3476,Tohoku
2020,November,Toyota,Convertible,4325,Hokkaido
2012,August,Nissan,Convertible,2888,Chugoku
2021,February,Mazda,Truck,2202,Kanto
2016,October,Subaru,SUV,1053,Hokkaido
2011,March,Toyota,Sedan,4934,Hokkaido
2010,March,Honda,Truck,2225,Kanto
2019,February,Honda,Sedan,4002,Kyushu
2021,September,Toyota,Hatchback,1807,Tohoku
2015,September,Nissan,Hatchback,4302,Kyushu
2014,January,Honda,Hatchback,3018,Hokkaido
2020,February,Honda,SUV,1782,Chubu
2012,December,Mazda,Hatchback,4150,Shikoku
2020,January,Mazda,Hatchback,4006,Hokkaido
2017,November,Subaru,Hatchback,2263,Shikoku
2019,August,Honda,Hatchback,2710,Kanto
2017,November,Nissan,Convertible,3941,Tohoku
2019,March,Honda,Hatchback,3150,Kansai
2020,February,Subaru,SUV,1575,Kyushu
2022,January,Toyota,Convertible,1520,Chugoku
2012,August,Nissan,Convertible,2011,Chugoku
2020,April,Toyota,Hatchback,1403,Chugoku
2024,August,Mazda,SUV,1782,Shikoku
2015,July,Nissan,Hatchback,4029,Chugoku
2015,June,Mazda,Sedan,3617,Kansai
2013,January,Subaru,Hatchback,2104,Chubu
2017,October,Toyota,Hatchback,2386,Chubu
2016,April,Toyota,Convertible,4668,Hokkaido
2021,April,Mazda,Truck,3695,Kanto
2012,February,Honda,Truck,2281,Chubu
2020,September,Honda,Truck,3602,Shikoku
2015,December,Subaru,Truck,3826,Hokkaido
2015,April,Subaru,SUV,4142,Shikoku
2018,July,Honda,SUV,2118,Hokkaido
2014,December,Nissan,SUV,3468,Chugoku
2011,July,Mazda,SUV,1767,Kansai
2010,November,Honda,Sedan,4891,Kanto
2024,January,Subaru,Sedan,3447,Chubu
2011,March,Nissan,Truck,1851,Chubu
2020,October,Toyota,SUV,1917,Hokkaido
2019,May,Mazda,Truck,1783,Shikoku
2022,January,Nissan,Hatchback,4770,Kansai
2020,June,Nissan,SUV,1438,Kanto
2024,October,Honda,Convertible,2258,Chubu
2013,May,Toyota,SUV,4667,Chugoku
2020,August,Subaru,Hatchback,1188,Kyushu
2018,March,Honda,Sedan,4361,Kanto
2022,February,Mazda,SUV,4844,Kansai
2021,July,Honda,Sedan,3405,Kyushu
2011,November,Mazda,Truck,3121,Kanto
2022,February,Toyota,Hatchback,4312,Chugoku
2021,September,Honda,Sedan,3682,Tohoku
2015,November,Subaru,Convertible,3174,Hokkaido
2022,July,Subaru,Sedan,4209,Tohoku
2023,December,Toyota,SUV,1612,Chubu
2011,February,Subaru,Convertible,2371,Kyushu
2020,March,Mazda,Sedan,1555,Kanto
2021,December,Honda,Truck,1818,Tohoku
2015,September,Honda,Convertible,2750,Chugoku
2023,November,Toyota,Truck,3325,Shikoku
2022,October,Nissan,Sedan,4235,Kanto
2010,January,Honda,SUV,2597,Shikoku
2019,April,Honda,Hatchback,3115,Kansai
2012,August,Subaru,Hatchback,3055,Chubu
2022,October,Subaru,Hatchback,1993,Hokkaido
2013,October,Nissan,Sedan,4884,Shikoku
2018,February,Honda,SUV,3592,Kanto
2020,September,Subaru,Convertible,1654,Kanto
2017,January,Toyota,Convertible,1751,Kanto
2014,May,Honda,Convertible,1738,Shikoku
2017,March,Honda,Hatchback,3230,Shikoku
2021,May,Toyota,SUV,1936,Shikoku
2017,June,Subaru,Sedan,2311,Kyushu
2010,December,Nissan,Convertible,2128,Kanto
2013,November,Honda,Hatchback,3659,Chubu
2018,September,Toyota,SUV,1523,Chugoku
2013,August,Nissan,SUV,1537,Hokkaido
2020,December,Nissan,Convertible,2235,Shikoku
2011,April,Nissan,Sedan,4093,Tohoku
2010,April,Mazda,Truck,2763,Shikoku
2024,October,Honda,Sedan,2951,Chugoku
2022,February,Subaru,SUV,2667,Kyushu
2013,April,Honda,Hatchback,3217,Shikoku
2010,April,Mazda,Sedan,1706,Tohoku
2013,October,Mazda,Truck,4326,Hokkaido
2011,July,Nissan,Truck,4182,Chugoku
2010,December,Honda,SUV,3785,Chubu
2018,September,Mazda,Hatchback,1566,Kyushu
2013,January,Honda,SUV,3727,Kansai
2024,June,Nissan,Sedan,2989,Shikoku
2017,February,Nissan,Hatchback,4467,Shikoku
2015,March,Subaru,Sedan,1514,Kanto
2013,March,Toyota,Truck,1309,Kansai
2024,November,Honda,Convertible,4868,Kyushu
2021,December,Nissan,SUV,2928,Kansai
2014,March,Nissan,Hatchback,4266,Shikoku
2010,May,Mazda,Truck,4998,Kyushu
2022,April,Toyota,Hatchback,1869,Kyushu
2010,March,Nissan,Convertible,3277,Kansai
2020,November,Nissan,SUV,1498,Kanto
2012,February,Nissan,SUV,2144,Shikoku
2019,August,Subaru,Truck,3475,Shikoku
2018,May,Toyota,Convertible,2422,Chugoku
2016,June,Mazda,SUV,1536,Chugoku
2010,February,Nissan,Sedan,2439,Tohoku
2011,May,Mazda,Truck,3363,Kansai
2023,July,Toyota,Convertible,2027,Kansai
2024,March,Mazda,SUV,4206,Kyushu
2013,November,Toyota,Convertible,1804,Tohoku
2012,August,Toyota,Truck,2335,Hokkaido
2013,June,Toyota,SUV,3729,Hokkaido
2016,May,Toyota,SUV,4414,Tohoku
2015,December,Mazda,Hatchback,2799,Hokkaido
2020,October,Toyota,Truck,3186,Chubu
2015,March,Subaru,Convertible,4083,Kansai
2022,December,Nissan,SUV,4597,Kansai
2020,April,Nissan,Truck,1146,Chugoku
2011,July,Subaru,Convertible,2718,Kansai
2023,December,Mazda,Convertible,1625,Kyushu
2022,September,Subaru,Convertible,4487,Chubu
2018,March,Honda,Sedan,1409,Kyushu
2022,July,Subaru,Sedan,4942,Kanto
2014,July,Mazda,Convertible,3281,Kansai
2016,February,Toyota,SUV,1391,Kyushu
2020,April,Honda,Hatchback,1431,Chugoku
2017,November,Toyota,SUV,3020,Shikoku
2016,April,Honda,Hatchback,3110,Shikoku
2012,April,Mazda,Sedan,2950,Kanto
2017,February,Honda,Hatchback,4294,Kanto
2013,June,Mazda,Convertible,2551,Chubu
2015,March,Honda,Hatchback,1077,Kyushu
2022,September,Toyota,Sedan,4835,Chubu
2010,February,Mazda,Convertible,3717,Kyushu
2024,March,Subaru,Hatchback,2981,Shikoku
2023,March,Mazda,Hatchback,3381,Kansai
2015,November,Mazda,SUV,3921,Kansai
2015,September,Mazda,SUV,3110,Kanto
2023,November,Toyota,Truck,1443,Kyushu
2010,May,Subaru,Sedan,2413,Kansai
2021,October,Nissan,SUV,4841,Shikoku
2013,September,Toyota,Convertible,4200,Kansai
2013,December,Nissan,Truck,4498,Chugoku
2022,December,Subaru,Sedan,4228,Kansai
2013,August,Subaru,Convertible,3177,Shikoku
2012,September,Nissan,Hatchback,1658,Tohoku
2019,April,Nissan,Truck,1505,Tohoku
2015,January,Honda,Hatchback,3389,Hokkaido
2022,October,Toyota,Truck,4815,Chubu
2018,November,Subaru,Truck,1987,Shikoku
2021,October,Honda,SUV,4592,Kyushu
2023,April,Honda,Hatchback,1339,Kansai
2023,April,Subaru,Hatchback,4149,Chugoku
2019,November,Mazda,Truck,3938,Kansai
2010,June,Subaru,Convertible,3343,Shikoku
2024,July,Honda,Convertible,1876,Tohoku
2023,April,Honda,Sedan,4460,Hokkaido
2014,November,Mazda,Hatchback,2867,Shikoku
2012,August,Nissan,Convertible,4478,Tohoku
2022,April,Nissan,SUV,2351,Kanto
2019,January,Mazda,Truck,2351,Hokkaido
2016,April,Toyota,SUV,2784,Tohoku
2021,March,Honda,Truck,3548,Chugoku
2020,July,Nissan,SUV,1068,Hokkaido
2022,March,Subaru,Truck,4761,Chubu
2021,July,Toyota,Sedan,2333,Kansai
2024,June,Subaru,Convertible,1041,Kyushu
2018,May,Honda,SUV,1884,Hokkaido
2018,December,Nissan,Hatchback,3104,Hokkaido
2020,December,Honda,Convertible,2165,Hokkaido
2020,September,Subaru,SUV,1471,Tohoku
2018,April,Toyota,Hatchback,3885,Kanto
2017,January,Toyota,Sedan,3497,Kansai
2014,March,Toyota,Sedan,2631,Chubu
2022,March,Mazda,Sedan,4041,Kyushu
2019,October,Subaru,Sedan,3141,Shikoku
2024,September,Subaru,SUV,3423,Shikoku
2013,November,Honda,Convertible,3125,Kanto
2013,March,Subaru,SUV,1970,Kyushu
2012,April,Mazda,SUV,2384,Kansai
2021,July,Nissan,Truck,3384,Kanto
2022,September,Mazda,Sedan,1173,Tohoku
2023,February,Toyota,Truck,3303,Shikoku
2010,December,Subaru,Convertible,3300,Shikoku
2015,September,Nissan,Truck,3914,Shikoku
2024,July,Nissan,Hatchback,3379,Kyushu
2019,March,Subaru,Sedan,4951,Kansai
2011,March,Mazda,Sedan,2119,Chugoku
2015,August,Subaru,Hatchback,4236,Hokkaido
2016,April,Subaru,Truck,1721,Kanto
2023,December,Nissan,Truck,2951,Chugoku
2017,April,Nissan,Truck,3721,Kansai
2013,March,Honda,Hatchback,1345,Kanto
2013,October,Nissan,Hatchback,1377,Shikoku
2017,April,Subaru,SUV,4973,Kyushu
2022,November,Honda,Truck,2206,Hokkaido
2013,June,Nissan,SUV,4901,Chugoku
2022,October,Nissan,SUV,1814,Shikoku
2024,January,Mazda,SUV,4885,Shikoku
2018,August,Mazda,Convertible,1648,Tohoku
2020,June,Subaru,Convertible,3621,Chubu
2017,February,Honda,Sedan,3743,Kansai
2022,September,Honda,SUV,2438,Kansai
2021,July,Honda,Truck,3285,Kyushu
2014,September,Toyota,Truck,4728,Hokkaido
2013,December,Nissan,SUV,1538,Tohoku
2016,January,Honda,SUV,3823,Shikoku
2020,August,Honda,Hatchback,4607,Hokkaido
2014,January,Mazda,Convertible,1890,Chubu
2017,February,Honda,Convertible,3000,Shikoku
2013,January,Subaru,Sedan,1618,Chubu
2017,May,Nissan,SUV,1662,Hokkaido
2016,July,Honda,Truck,4839,Kansai
2021,July,Honda,Sedan,2612,Chubu
2014,December,Toyota,Truck,1567,Shikoku
2024,March,Subaru,Convertible,1797,Kyushu
2020,January,Subaru,Hatchback,4207,Shikoku
2024,February,Subaru,Hatchback,1463,Chubu
2010,June,Toyota,Truck,4394,Hokkaido
2018,May,Mazda,Sedan,3343,Hokkaido
2012,October,Mazda,Truck,1241,Tohoku
2022,January,Honda,Truck,2205,Kansai
2010,August,Toyota,Hatchback,3508,Chugoku
2022,August,Mazda,Convertible,4794,Hokkaido
2011,March,Mazda,Truck,1790,Kyushu
2015,August,Nissan,Truck,1708,Kansai
2010,March,Subaru,Convertible,3339,Kanto
2010,October,Nissan,Hatchback,2285,Tohoku
2019,June,Honda,SUV,4787,Tohoku
2011,November,Subaru,Hatchback,4037,Kansai
2013,October,Nissan,Hatchback,2139,Hokkaido
2018,October,Toyota,SUV,4725,Chubu
2017,May,Mazda,SUV,1547,Shikoku
2010,August,Nissan,Truck,2253,Kyushu
2023,September,Mazda,SUV,2629,Chubu
2022,August,Toyota,Hatchback,2938,Kanto
2010,April,Subaru,Sedan,4807,Tohoku
2023,August,Honda,Truck,4051,Kansai
2012,May,Toyota,Truck,4850,Chubu
2014,September,Honda,SUV,3892,Tohoku
2021,December,Toyota,Convertible,1549,Shikoku
2018,October,Toyota,SUV,3229,Kanto
2022,January,Mazda,Sedan,3965,Chugoku
2022,February,Toyota,Hatchback,1374,Chubu
2011,December,Subaru,Sedan,2649,Kansai
2014,April,Nissan,SUV,2339,Tohoku
2013,April,Mazda,Convertible,4966,Tohoku
2023,November,Nissan,Truck,4028,Kyushu
2014,December,Nissan,Truck,4973,Shikoku
2021,November,Mazda,Convertible,4679,Chubu
2017,July,Nissan,SUV,1464,Hokkaido
2014,April,Subaru,Sedan,3647,Kansai
2022,June,Nissan,Convertible,2803,Kanto
2021,February,Mazda,Convertible,4372,Chubu
2018,May,Mazda,Sedan,3915,Kanto
2019,March,Toyota,Convertible,2580,Chubu
2023,May,Subaru,Truck,4099,Kanto
2023,August,Honda,Sedan,4749,Kyushu
2011,February,Nissan,Convertible,4620,Tohoku
2024,July,Honda,Sedan,2648,Kansai
2017,December,Subaru,Convertible,4765,Shikoku
2012,December,Mazda,Hatchback,3487,Tohoku
2011,July,Nissan,Sedan,2726,Kanto
2013,May,Nissan,Hatchback,1769,Kyushu
2013,September,Honda,Sedan,3674,Kyushu
2023,September,Subaru,Truck,2053,Chugoku
2018,May,Honda,Convertible,4658,Shikoku
2022,January,Toyota,SUV,3059,Kansai
2017,July,Honda,SUV,3175,Kyushu
2023,January,Mazda,Convertible,4574,Chubu
2017,June,Subaru,Sedan,4039,Kansai
2011,September,Nissan,SUV,4190,Chubu
2015,August,Nissan,Convertible,1142,Tohoku
2022,July,Nissan,Convertible,1220,Chugoku
2020,August,Toyota,Truck,3424,Kanto
2016,January,Honda,Convertible,1488,Kanto
2012,June,Mazda,Hatchback,3631,Hokkaido
2014,April,Subaru,Hatchback,1212,Shikoku
2018,September,Honda,Sedan,2752,Chugoku
2012,September,Mazda,Convertible,4847,Chugoku
2016,July,Toyota,Convertible,3518,Kansai
2022,February,Honda,Sedan,4685,Kansai
2022,May,Honda,SUV,3217,Kanto
2022,July,Nissan,Hatchback,1644,Tohoku
2012,June,Subaru,Convertible,1742,Kansai
2023,December,Honda,Truck,1706,Shikoku
2017,October,Mazda,Hatchback,2976,Kyushu
2012,September,Toyota,SUV,2638,Chubu
2022,April,Toyota,SUV,1606,Shikoku
2010,October,Toyota,Hatchback,3568,Kansai
2012,January,Subaru,Sedan,4702,Kanto
2014,December,Mazda,SUV,2043,Kyushu
2012,July,Mazda,Sedan,2588,Tohoku
2020,September,Mazda,SUV,4214,Chugoku
2016,September,Mazda,Sedan,3129,Shikoku
2010,October,Mazda,Sedan,4331,Kanto
2014,June,Nissan,Hatchback,1989,Kanto
2010,October,Mazda,Truck,1330,Kyushu
2011,May,Nissan,Hatchback,3467,Kansai
2010,December,Toyota,SUV,2275,Chubu
2015,August,Mazda,Sedan,3112,Kanto
2020,July,Nissan,Hatchback,4908,Kanto
2016,September,Mazda,Sedan,4726,Chubu
2022,December,Toyota,Truck,4221,Shikoku
2012,March,Toyota,SUV,2555,Kyushu
2011,October,Mazda,SUV,1955,Chugoku
2024,April,Mazda,Convertible,4745,Kyushu
2022,October,Subaru,Sedan,3440,Kansai
2013,August,Subaru,Truck,2388,Hokkaido
2021,March,Nissan,Convertible,3812,Chugoku
2017,June,Subaru,SUV,3832,Kanto
2012,December,Honda,Truck,4815,Kanto
2017,October,Nissan,Truck,4393,Chubu
2023,December,Toyota,Truck,1783,Shikoku
2016,March,Subaru,Hatchback,2465,Hokkaido
2023,September,Subaru,Sedan,2158,Chubu
2021,September,Honda,Truck,4200,Chubu
2017,October,Subaru,SUV,2116,Kanto
2019,November,Honda,Hatchback,2944,Tohoku
2013,January,Mazda,Sedan,2962,Hokkaido
2023,January,Nissan,Convertible,4235,Tohoku
2021,November,Honda,Convertible,2457,Shikoku
2021,May,Mazda,Hatchback,3581,Shikoku
2017,January,Mazda,Convertible,4717,Hokkaido
2013,September,Toyota,Sedan,4709,Chubu
2022,February,Honda,Convertible,4722,Chugoku
2021,April,Nissan,Truck,2011,Kyushu
2023,December,Honda,SUV,4045,Chugoku
2013,September,Nissan,Sedan,4699,Chugoku
2011,May,Subaru,Sedan,2509,Kanto
2015,December,Mazda,SUV,3056,Shikoku
2024,January,Subaru,Sedan,2786,Kansai
2019,April,Subaru,Hatchback,4747,Kyushu
2019,November,Honda,SUV,3681,Kanto
2022,February,Honda,Convertible,1290,Hokkaido
2019,June,Toyota,Sedan,4841,Kanto
2020,October,Subaru,SUV,2262,Hokkaido
2022,April,Subaru,SUV,2572,Chugoku
2018,September,Toyota,Hatchback,3097,Shikoku
2018,March,Honda,Sedan,3230,Kyushu
2015,November,Subaru,Sedan,4800,Chugoku
2020,June,Mazda,SUV,3372,Chugoku
2010,October,Nissan,Sedan,4564,Shikoku
2015,July,Toyota,Truck,2957,Kyushu
2017,December,Honda,Convertible,3244,Kansai
2017,September,Honda,Convertible,3172,Chugoku
2022,April,Toyota,SUV,2431,Kyushu
2018,February,Honda,Convertible,4070,Hokkaido
2011,July,Honda,Truck,1310,Shikoku
2016,June,Subaru,Truck,3264,Chubu
2022,February,Nissan,Convertible,1218,Chubu
2017,August,Subaru,Convertible,2681,Chugoku
2022,August,Toyota,Truck,2470,Shikoku
2012,March,Mazda,Truck,3604,Hokkaido
2011,February,Nissan,SUV,4376,Kansai
2022,February,Honda,Truck,1784,Kyushu
2014,October,Toyota,SUV,3026,Shikoku
2019,February,Honda,SUV,3581,Chubu
2018,July,Subaru,SUV,4715,Chubu
2017,December,Honda,Sedan,3287,Tohoku
2010,May,Mazda,Hatchback,1183,Kyushu
2024,June,Nissan,Hatchback,4652,Tohoku
2013,February,Honda,Hatchback,4332,Tohoku
2023,July,Subaru,Hatchback,3017,Kanto
2018,April,Honda,Sedan,3518,Shikoku
2015,April,Honda,Hatchback,4699,Shikoku
2019,August,Nissan,Sedan,2093,Tohoku
2010,May,Nissan,Truck,2367,Chubu
2024,November,Nissan,Truck,2990,Hokkaido
2014,October,Mazda,SUV,3391,Hokkaido
2021,August,Mazda,Hatchback,3402,Kyushu
2023,January,Toyota,Truck,2634,Kansai
2024,April,Nissan,Hatchback,2632,Chubu
2010,July,Honda,Hatchback,4141,Kansai
2011,August,Honda,Convertible,3728,Hokkaido
2016,March,Mazda,SUV,1716,Tohoku
2013,November,Nissan,SUV,4924,Shikoku
2016,February,Subaru,Convertible,1092,Chubu
2012,November,Subaru,Convertible,3394,Kanto
2012,July,Mazda,SUV,4910,Kansai
2019,October,Toyota,Convertible,1270,Tohoku
2020,February,Mazda,Convertible,2264,Hokkaido
2014,February,Mazda,SUV,3014,Hokkaido
2024,July,Toyota,SUV,2009,Chubu
2017,December,Honda,Hatchback,4466,Hokkaido
2019,June,Nissan,Sedan,4616,Kansai
2018,January,Subaru,Hatchback,3477,Kansai
2011,December,Mazda,SUV,4933,Kyushu
2019,October,Subaru,Sedan,2005,Chugoku
2024,February,Nissan,Hatchback,1652,Chugoku
2022,May,Honda,Sedan,2401,Tohoku
2010,November,Toyota,Hatchback,3824,Shikoku
2015,December,Toyota,Truck,1529,Chubu
2010,September,Nissan,Truck,3804,Chubu
2013,June,Subaru,Hatchback,4207,Kanto
2010,July,Toyota,Truck,4983,Tohoku
2022,May,Mazda,Convertible,1554,Chugoku
2024,August,Nissan,Hatchback,2668,Shikoku
2023,May,Mazda,Hatchback,1852,Kansai
2014,May,Subaru,SUV,1642,Tohoku
2020,June,Subaru,Hatchback,1106,Shikoku
2015,August,Subaru,Truck,4263,Kanto
2018,May,Mazda,Sedan,1394,Shikoku
2010,July,Subaru,Convertible,1350,Shikoku
2023,April,Nissan,Convertible,3522,Kanto
2010,October,Toyota,Sedan,1688,Chubu
2024,July,Honda,Convertible,1010,Chubu
2015,September,Honda,Hatchback,2373,Hokkaido
2016,August,Mazda,SUV,1190,Hokkaido
2018,June,Nissan,SUV,3735,Chubu
2023,November,Honda,Truck,3314,Kanto
2019,January,Mazda,Convertible,3065,Hokkaido
2019,September,Subaru,Sedan,2870,Kansai
2024,December,Subaru,SUV,3064,Kyushu
2019,November,Mazda,Hatchback,1201,Chubu
2017,March,Mazda,Sedan,2885,Kyushu
2013,September,Mazda,SUV,4503,Tohoku
2010,September,Honda,Truck,2497,Shikoku
2018,March,Nissan,Convertible,4865,Kyushu
2015,January,Subaru,Hatchback,2993,Chubu
2012,August,Nissan,SUV,4731,Chubu
2010,February,Toyota,Sedan,3504,Shikoku
2024,March,Subaru,SUV,3812,Kanto
2013,November,Mazda,Truck,2587,Kanto
2013,January,Mazda,Sedan,1202,Shikoku
2015,May,Mazda,Sedan,3273,Chubu
2024,May,Toyota,Hatchback,2794,Kanto
2012,August,Honda,SUV,4763,Kanto
2011,November,Subaru,Truck,1063,Kyushu
2020,October,Mazda,Sedan,3039,Kyushu
2010,September,Mazda,Sedan,1680,Kanto
2015,March,Mazda,Truck,4348,Tohoku
2020,February,Honda,Convertible,3417,Shikoku
2012,September,Subaru,Hatchback,4049,Shikoku
2014,April,Toyota,Convertible,2632,Tohoku
2016,August,Mazda,Convertible,2358,Tohoku
2012,March,Honda,Convertible,2605,Tohoku
2011,October,Nissan,Hatchback,4273,Chugoku
2024,September,Mazda,Hatchback,1721,Chubu
2014,April,Toyota,Hatchback,1096,Hokkaido
